Rank,Global Rank,Institution,Country,Sector,Best Country Quartile
450,7224,"Minnesota State University, Mankato",USA,Universities,3
451,7241,"Trinity College, Hartford",USA,Universities,3
452,7249,Hope College,USA,Universities,3
453,7259,Eastern Michigan University,USA,Universities,3
454,7262,Clark University,USA,Universities,3
455,7312,Bentley University,USA,Universities,3
456,7343,University of North Georgia,USA,Universities,3
457,7357,Quinnipiac University,USA,Universities,3
458,7366,William Paterson University,USA,Universities,4
459,7378,Bowdoin College,USA,Universities,3
460,7391,Kean University,USA,Universities,3
461,7400,Sam Houston State University,USA,Universities,3
462,7422,Missouri State University,USA,Universities,3
463,7442,Bryn Mawr College,USA,Universities,4
464,7455,"California State University, Chico",USA,Universities,3
464,7455,Colby College,USA,Universities,3
466,7458,Murray State University,USA,Universities,3
467,7462,University of St. Thomas,USA,Universities,3
468,7477,Eastern Illinois University,USA,Universities,3
469,7493,The College of Wooster,USA,Universities,3
470,7541,Elon University,USA,Universities,2
471,7591,Furman University,USA,Universities,3
471,7591,Gettysburg College,USA,Universities,4
473,7597,Amherst College,USA,Universities,3
474,7608,Colgate University,USA,Universities,4
475,7616,The New School,USA,Universities,3
476,7621,Kenyon College,USA,Universities,3
476,7621,Washington and Lee University,USA,Universities,4
478,7684,Pittsburg State University,USA,Universities,3
479,7690,"Touro University, California",USA,Universities,3
480,7710,"University of Texas, Tyler",USA,Universities,4
481,7720,Western Kentucky University,USA,Universities,3
482,7729,"University of Wisconsin, Eau Claire",USA,Universities,4
483,7767,University of Northern Iowa,USA,Universities,3
483,7767,Western Illinois University,USA,Universities,4
485,7794,Suffolk University *,USA,Universities,3
486,7817,Philadelphia College of Osteopathic Medicine,USA,Universities,4
487,7819,Southern Connecticut State University,USA,Universities,4
488,7827,Widener University,USA,Universities,4
489,7840,Texas A&M International University,USA,Universities,3
490,7848,Seattle Pacific University,USA,Universities,3
491,7865,Texas Woman's University,USA,Universities,3
492,7883,"California State University, Fresno",USA,Universities,3
493,7908,"University of Wisconsin, Green Bay",USA,Universities,3
494,7910,Hamilton College,USA,Universities,3
495,7922,University of Detroit Mercy,USA,Universities,3
496,7944,Indiana State University,USA,Universities,3
497,7987,Claremont Graduate University,USA,Universities,4
498,8004,Lawrence Technological University,USA,Universities,3
499,8019,College of Charleston,USA,Universities,4
500,8022,Ithaca College,USA,Universities,4
501,8053,Roseman University of Health Sciences,USA,Universities,3
502,8078,Siena College,USA,Universities,4
502,8078,University of Central Oklahoma,USA,Universities,4
504,8121,University of the District of Columbia,USA,Universities,4
505,8123,"State University of New York, College at Cortland",USA,Universities,4
506,8129,Sacred Heart University,USA,Universities,3
507,8130,"California State University, Stanislaus",USA,Universities,4
507,8130,Fairfield University,USA,Universities,3
509,8183,"State University of New York, Buffalo State College",USA,Universities,4
510,8216,Bradley University,USA,Universities,4
511,8221,"University of Houston, Clear Lake",USA,Universities,3
512,8227,Palo Alto University,USA,Universities,4
513,8248,Southern Illinois University Edwardsville,USA,Universities,3
514,8250,Skidmore College,USA,Universities,4
515,8266,University of Hartford,USA,Universities,4
516,8275,University of Indianapolis,USA,Universities,4
517,8279,Drake University,USA,Universities,4
517,8279,Central Connecticut State University,USA,Universities,4
519,8290,Stephen F Austin State University,USA,Universities,3
520,8295,Stetson University,USA,Universities,4
521,8310,Coastal Carolina University,USA,Universities,3
522,8326,University of Central Missouri,USA,Universities,3
523,8350,Central Washington University,USA,Universities,4
524,8387,Metropolitan State University,USA,Universities,4
525,8393,Seattle University,USA,Universities,3
526,8399,Austin Peay State University,USA,Universities,3
527,8418,University of Tampa,USA,Universities,3
528,8427,Butler University,USA,Universities,4
528,8427,Fairleigh Dickinson University,USA,Universities,3
530,8444,Loyola University Maryland,USA,Universities,3
531,8467,Indiana University of Pennsylvania,USA,Universities,3
532,8485,West Chester University of Pennsylvania,USA,Universities,3
533,8496,University of Wisconsin - LaCrosse,USA,Universities,3
534,8520,University of Portland,USA,Universities,4
535,8538,Virginia Military Institute,USA,Universities,4
536,8540,Adelphi University,USA,Universities,3
537,8545,Western Carolina University,USA,Universities,3
538,8576,"University of Nebraska, Kearney",USA,Universities,4
538,8576,University of Houston - Downtown,USA,Universities,4
540,8592,Northeastern Illinois University,USA,Universities,4
541,8637,Babson College,USA,Universities,3
542,8679,Saint Joseph's University,USA,Universities,3
543,8705,Colorado College,USA,Universities,4
543,8705,Weber State University,USA,Universities,3
545,8712,Northern Kentucky University,USA,Universities,4
546,8735,Denison University,USA,Universities,4
547,8766,College of the Holy Cross,USA,Universities,4
548,8772,Rhodes College,USA,Universities,4
549,8784,Gonzaga University,USA,Universities,3
550,8800,Grinnell College,USA,Universities,4
551,8825,Troy University,USA,Universities,4
552,8839,Eastern Kentucky University,USA,Universities,3
553,8844,Dickinson College,USA,Universities,4
554,8852,State University of West Georgia,USA,Universities,4
554,8852,Simmons University,USA,Universities,4
556,8874,Rollins College,USA,Universities,4
557,8884,Salisbury University,USA,Universities,4
558,8917,"State University of New York, College at Brockport",USA,Universities,4
559,8930,Radford University,USA,Universities,4
560,8954,"University of Wisconsin, Oshkosh",USA,Universities,4
561,9019,Connecticut College,USA,Universities,4
562,9051,University of Maryland Eastern Shore,USA,Universities,4
563,9064,University of Scranton,USA,Universities,4
564,9095,Stockton University,USA,Universities,4
565,9107,Merrimack College,USA,Universities,4
566,9326,Marymount University,USA,Universities,4
